Idioma,Legenda,Palavra,Classe,Cor_Hex,Valida,Sugestao
PT,1,Pai,substantivo_masculino_singular,#4169E1,SIM,
PT,1,nosso,substantivo_masculino_singular,#4169E1,SIM,
PT,1,que,substantivo_masculino_singular,#4169E1,SIM,
PT,1,estais,substantivo_masculino_singular,#4169E1,SIM,
PT,1,no,substantivo_masculino_singular,#4169E1,SIM,
PT,1,"céu,",substantivo_masculino_singular,#4169E1,SIM,
PT,1,santificado,substantivo_masculino_singular,#4169E1,SIM,
PT,1,seja,substantivo_masculino_singular,#4169E1,SIM,
PT,1,o,substantivo_masculino_singular,#4169E1,SIM,
PT,1,vosso,substantivo_masculino_singular,#4169E1,SIM,
PT,1,"nome,",substantivo_masculino_singular,#4169E1,SIM,
PT,1,venha,substantivo_masculino_singular,#4169E1,SIM,
PT,1,a,substantivo_masculino_singular,#4169E1,SIM,
PT,1,nós,substantivo_masculino_singular,#4169E1,SIM,
PT,1,o,substantivo_masculino_singular,#4169E1,SIM,
PT,1,vosso,substantivo_masculino_singular,#4169E1,SIM,
PT,1,"reino,",substantivo_masculino_singular,#4169E1,SIM,
PT,1,seja,substantivo_masculino_singular,#4169E1,SIM,
PT,1,feita,substantivo_masculino_singular,#4169E1,SIM,
PT,1,a,substantivo_masculino_singular,#4169E1,SIM,
PT,1,vossa,substantivo_masculino_singular,#4169E1,SIM,
PT,1,"vontade,",substantivo_masculino_singular,#4169E1,SIM,
PT,1,assim,substantivo_masculino_singular,#4169E1,SIM,
PT,1,na,substantivo_masculino_singular,#4169E1,SIM,
PT,1,terra,substantivo_masculino_singular,#4169E1,SIM,
PT,1,como,substantivo_masculino_singular,#4169E1,SIM,
PT,1,no,substantivo_masculino_singular,#4169E1,SIM,
PT,1,céu.,substantivo_masculino_singular,#4169E1,SIM,
PT,1,O,substantivo_masculino_singular,#4169E1,SIM,
PT,1,pão,substantivo_masculino_singular,#4169E1,SIM,
PT,1,nosso,substantivo_masculino_singular,#4169E1,SIM,
PT,1,de,substantivo_masculino_singular,#4169E1,SIM,
PT,1,cada,substantivo_masculino_singular,#4169E1,SIM,
PT,1,dia,substantivo_masculino_singular,#4169E1,SIM,
PT,1,nos,substantivo_masculino_singular,#4169E1,SIM,
PT,1,dai,substantivo_masculino_singular,#4169E1,SIM,
PT,1,hoje.,substantivo_masculino_singular,#4169E1,SIM,
PT,1,Perdoai,substantivo_masculino_singular,#4169E1,SIM,
PT,1,as,substantivo_masculino_singular,#4169E1,SIM,
PT,1,nossas,substantivo_masculino_singular,#4169E1,SIM,
PT,1,"ofensas,",substantivo_masculino_singular,#4169E1,SIM,
PT,1,assim,substantivo_masculino_singular,#4169E1,SIM,
PT,1,como,substantivo_masculino_singular,#4169E1,SIM,
PT,1,nós,substantivo_masculino_singular,#4169E1,SIM,
PT,1,perdoamos,substantivo_masculino_singular,#4169E1,SIM,
PT,1,a,substantivo_masculino_singular,#4169E1,SIM,
PT,1,quem,substantivo_masculino_singular,#4169E1,SIM,
PT,1,nos,substantivo_masculino_singular,#4169E1,SIM,
PT,1,tem,substantivo_masculino_singular,#4169E1,SIM,
PT,1,ofendido.,substantivo_masculino_singular,#4169E1,SIM,
PT,1,E,substantivo_masculino_singular,#4169E1,SIM,
PT,1,não,substantivo_masculino_singular,#4169E1,SIM,
PT,1,nos,substantivo_masculino_singular,#4169E1,SIM,
PT,1,deixeis,substantivo_masculino_singular,#4169E1,SIM,
PT,1,cair,substantivo_masculino_singular,#4169E1,SIM,
PT,1,em,substantivo_masculino_singular,#4169E1,SIM,
PT,1,"tentação,",substantivo_masculino_singular,#4169E1,SIM,
PT,1,mas,substantivo_masculino_singular,#4169E1,SIM,
PT,1,livrai-nos,substantivo_masculino_singular,#4169E1,SIM,
PT,1,do,substantivo_masculino_singular,#4169E1,SIM,
PT,1,mal.,substantivo_masculino_singular,#4169E1,SIM,
PT,1,Amém.,substantivo_masculino_singular,#4169E1,SIM,
PT,2,Venha,verbo_imperativo,#E67E22,SIM,
PT,2,a,preposicao,#FF8C00,SIM,
PT,2,nós,pronome_pessoal,#008080,SIM,
PT,2,o,artigo_definido_masculino_singular,,NÃO,
PT,2,vosso,pronome_possessivo_masculino_singular,,NÃO,
PT,2,reino,substantivo_masculino_singular,#4169E1,SIM,
PT,3,Pai,substantivo_masculino_singular,#4169E1,SIM,
PT,3,nosso,substantivo_masculino_singular,#4169E1,SIM,
PT,3,que,substantivo_masculino_singular,#4169E1,SIM,
PT,3,estais,substantivo_masculino_singular,#4169E1,SIM,
PT,3,no,substantivo_masculino_singular,#4169E1,SIM,
PT,3,"céu,",substantivo_masculino_singular,#4169E1,SIM,
PT,3,santificado,substantivo_masculino_singular,#4169E1,SIM,
PT,3,seja,substantivo_masculino_singular,#4169E1,SIM,
PT,3,o,substantivo_masculino_singular,#4169E1,SIM,
PT,3,vosso,substantivo_masculino_singular,#4169E1,SIM,
PT,3,"nome,",substantivo_masculino_singular,#4169E1,SIM,
PT,3,venha,substantivo_masculino_singular,#4169E1,SIM,
PT,3,a,substantivo_masculino_singular,#4169E1,SIM,
PT,3,nós,substantivo_masculino_singular,#4169E1,SIM,
PT,3,o,substantivo_masculino_singular,#4169E1,SIM,
PT,3,vosso,substantivo_masculino_singular,#4169E1,SIM,
PT,3,"reino,",substantivo_masculino_singular,#4169E1,SIM,
PT,3,seja,substantivo_masculino_singular,#4169E1,SIM,
PT,3,feita,substantivo_masculino_singular,#4169E1,SIM,
PT,3,a,substantivo_masculino_singular,#4169E1,SIM,
PT,3,vossa,substantivo_masculino_singular,#4169E1,SIM,
PT,3,"vontade,",substantivo_masculino_singular,#4169E1,SIM,
PT,3,assim,substantivo_masculino_singular,#4169E1,SIM,
PT,3,na,substantivo_masculino_singular,#4169E1,SIM,
PT,3,terra,substantivo_masculino_singular,#4169E1,SIM,
PT,3,como,substantivo_masculino_singular,#4169E1,SIM,
PT,3,no,substantivo_masculino_singular,#4169E1,SIM,
PT,3,céu.,substantivo_masculino_singular,#4169E1,SIM,
PT,3,O,substantivo_masculino_singular,#4169E1,SIM,
PT,3,pão,substantivo_masculino_singular,#4169E1,SIM,
PT,3,nosso,substantivo_masculino_singular,#4169E1,SIM,
PT,3,de,substantivo_masculino_singular,#4169E1,SIM,
PT,3,cada,substantivo_masculino_singular,#4169E1,SIM,
PT,3,dia,substantivo_masculino_singular,#4169E1,SIM,
PT,3,nos,substantivo_masculino_singular,#4169E1,SIM,
PT,3,dai,substantivo_masculino_singular,#4169E1,SIM,
PT,3,hoje.,substantivo_masculino_singular,#4169E1,SIM,
PT,3,Perdoai,substantivo_masculino_singular,#4169E1,SIM,
PT,3,as,substantivo_masculino_singular,#4169E1,SIM,
PT,3,nossas,substantivo_masculino_singular,#4169E1,SIM,
PT,3,"ofensas,",substantivo_masculino_singular,#4169E1,SIM,
PT,3,assim,substantivo_masculino_singular,#4169E1,SIM,
PT,3,como,substantivo_masculino_singular,#4169E1,SIM,
PT,3,nós,substantivo_masculino_singular,#4169E1,SIM,
PT,3,perdoamos,substantivo_masculino_singular,#4169E1,SIM,
PT,3,a,substantivo_masculino_singular,#4169E1,SIM,
PT,3,quem,substantivo_masculino_singular,#4169E1,SIM,
PT,3,nos,substantivo_masculino_singular,#4169E1,SIM,
PT,3,tem,substantivo_masculino_singular,#4169E1,SIM,
PT,3,ofendido.,substantivo_masculino_singular,#4169E1,SIM,
PT,3,E,substantivo_masculino_singular,#4169E1,SIM,
PT,3,não,substantivo_masculino_singular,#4169E1,SIM,
PT,3,nos,substantivo_masculino_singular,#4169E1,SIM,
PT,3,deixeis,substantivo_masculino_singular,#4169E1,SIM,
PT,3,cair,substantivo_masculino_singular,#4169E1,SIM,
PT,3,em,substantivo_masculino_singular,#4169E1,SIM,
PT,3,"tentação,",substantivo_masculino_singular,#4169E1,SIM,
PT,3,mas,substantivo_masculino_singular,#4169E1,SIM,
PT,3,livrai-nos,substantivo_masculino_singular,#4169E1,SIM,
PT,3,do,substantivo_masculino_singular,#4169E1,SIM,
PT,3,mal.,substantivo_masculino_singular,#4169E1,SIM,
PT,3,Amém.,substantivo_masculino_singular,#4169E1,SIM,
PT,4,O,artigo_definido,#D3D3D3,SIM,
PT,4,pão,substantivo_masculino_singular,#4169E1,SIM,
PT,4,nosso,pronome_possessivo_singular,#006400,SIM,
PT,4,de,preposicao,#FF8C00,SIM,
PT,4,cada,adjetivo_normal,#E74C3C,SIM,
PT,4,dia,substantivo_masculino_singular,#4169E1,SIM,
PT,4,nos,pronome_pessoal,#008080,SIM,
PT,4,dá,verbo_presente,#9B59B6,SIM,
PT,4,hoje,advérbio_normal,#16A085,SIM,
PT,5,Perdua,verbo_imperativo,#E67E22,SIM,
PT,5,aí,advérbio_normal,#16A085,SIM,
PT,5,as,artigo_definido,#D3D3D3,SIM,
PT,5,nossas,pronome_possessivo_plural,#004D00,SIM,
PT,5,ofensas,substantivo_feminino_plural,#C71585,SIM,
PT,6,Assim,advérbio_normal,#16A085,SIM,
PT,6,como,conjunção,,NÃO,conjuncao
PT,6,nós,pronome_pessoal,#008080,SIM,
PT,6,perduamos,verbo_presente,#9B59B6,SIM,
PT,6,aqui,advérbio_normal,#16A085,SIM,
PT,6,nos,pronome_pessoal,#008080,SIM,
PT,6,tem,verbo_presente,#9B59B6,SIM,
PT,6,ofendido,verbo_passado,#4A235A,SIM,
PT,7,E,conjuncao,#8B4513,SIM,
PT,7,não,advérbio_normal,#16A085,SIM,
PT,7,nos,pronome_pessoal,#008080,SIM,
PT,7,deixe,verbo_imperativo,#E67E22,SIM,
PT,7,cair,verbo_presente,#9B59B6,SIM,
PT,7,em,preposicao,#FF8C00,SIM,
PT,7,tentação,substantivo_feminino_singular,#FF1493,SIM,
PT,7,",",conjuncao,#8B4513,SIM,
PT,7,mas,conjuncao,#8B4513,SIM,
PT,7,livrar,verbo_presente,#9B59B6,SIM,
PT,7,-,conjuncao,#8B4513,SIM,
PT,7,nos,pronome_pessoal,#008080,SIM,
PT,7,do,preposicao,#FF8C00,SIM,
PT,7,mal,substantivo_masculino_singular,#4169E1,SIM,
PT,7,a,preposicao,#FF8C00,SIM,
PT,7,mim,pronome_pessoal,#008080,SIM,
PT,7,.,conjuncao,#8B4513,SIM,
EN,1,Our,pronome_possessivo_singular,#006400,SIM,
EN,1,Father,substantivo_masculino_singular,#4169E1,SIM,
EN,1,who,pronome_relativo,#FFD700,SIM,
EN,1,art,verbo_presente,#9B59B6,SIM,
EN,1,in,preposicao,#FF8C00,SIM,
EN,1,heaven,substantivo_masculino_singular,#4169E1,SIM,
EN,2,hallowed,adjetivo_normal,#E74C3C,SIM,
EN,2,be,verbo_presente,#9B59B6,SIM,
EN,2,thy,pronome_possessivo_singular,#006400,SIM,
EN,2,name,substantivo_masculino_singular,#4169E1,SIM,
EN,3,thy,pronome_possessivo_singular,#006400,SIM,
EN,3,kingdom,substantivo_masculino_singular,#4169E1,SIM,
EN,3,come,verbo_presente,#9B59B6,SIM,
EN,4,thy,pronome_possessivo_singular,#006400,SIM,
EN,4,will,verbo_presente,#9B59B6,SIM,
EN,4,be,verbo_presente,#9B59B6,SIM,
EN,4,done,verbo_passado,#4A235A,SIM,
EN,4,on,preposicao,#FF8C00,SIM,
EN,4,earth,substantivo_feminino_singular,#FF1493,SIM,
EN,4,as,conjuncao,#8B4513,SIM,
EN,4,it,pronome_pessoal,#008080,SIM,
EN,4,is,verbo_presente,#9B59B6,SIM,
EN,4,in,preposicao,#FF8C00,SIM,
EN,5,heaven,substantivo_masculino_singular,#4169E1,SIM,
EN,5,.,pontuacao,,NÃO,
EN,5,Give,verbo_imperativo,#E67E22,SIM,
EN,5,us,pronome_pessoal,#008080,SIM,
EN,5,this,pronome_demonstrativo,#9370DB,SIM,
EN,5,day,substantivo_masculino_singular,#4169E1,SIM,
EN,5,our,pronome_possessivo_plural,#004D00,SIM,
EN,5,daily,adjetivo_normal,#E74C3C,SIM,
EN,5,bread,substantivo_masculino_singular,#4169E1,SIM,
EN,6,.,pontuacao,,NÃO,
EN,6,Forgive,verbo_imperativo,#E67E22,SIM,
EN,6,us,pronome_pessoal,#008080,SIM,
EN,6,our,pronome_possessivo_singular,#006400,SIM,
EN,7,trespasses,verbo_presente,#9B59B6,SIM,
EN,8,as,artigo_definido,#D3D3D3,SIM,
EN,8,we,pronome_pessoal,#008080,SIM,
EN,8,forgive,verbo_presente,#9B59B6,SIM,
EN,8,those,pronome_pessoal,#008080,SIM,
EN,8,who,pronome_relativo,#FFD700,SIM,
EN,9,trespass,substantivo_masculino_singular,#4169E1,SIM,
EN,9,against,preposicao,#FF8C00,SIM,
EN,9,us,pronome_pessoal,#008080,SIM,
EN,10,And,verbo_presente,#9B59B6,SIM,
EN,10,lead,verbo_presente,#9B59B6,SIM,
EN,10,us,pronome_pessoal,#008080,SIM,
EN,10,not,advérbio_normal,#16A085,SIM,
EN,10,into,preposicao,#FF8C00,SIM,
EN,10,temptation,substantivo_feminino_singular,#FF1493,SIM,
EN,10,",",conjuncao,#8B4513,SIM,
EN,10,but,conjuncao,#8B4513,SIM,
EN,11,deliver,verbo_imperativo,#E67E22,SIM,
EN,11,us,pronome_pessoal,#008080,SIM,
EN,11,from,preposicao,#FF8C00,SIM,
EN,11,evil,substantivo_masculino_singular,#4169E1,SIM,
EN,11,.,pontuacao,,NÃO,
EN,11,Amen,substantivo_masculino_singular,#4169E1,SIM,
EN,11,.,pontuacao,,NÃO,
EN,11,M,substantivo_masculino_singular,#4169E1,SIM,
ES,1,Padre,substantivo_masculino_singular,#4169E1,SIM,
ES,1,nuestro,adjetivo_normal,#E74C3C,SIM,
ES,1,que,pronome_relativo,#FFD700,SIM,
ES,1,estás,verbo_presente,#9B59B6,SIM,
ES,1,en,preposicao,#FF8C00,SIM,
ES,1,los,artigo_definido,#D3D3D3,SIM,
ES,1,cielos,substantivo_masculino_plural,#1E3A8A,SIM,
ES,2,Santificado,adjetivo_normal,#E74C3C,SIM,
ES,2,sea,verbo_presente,#9B59B6,SIM,
ES,2,tu,pronome_possessivo_singular,#006400,SIM,
ES,2,nombre,substantivo_masculino_singular,#4169E1,SIM,
ES,2,ven,verbo_imperativo,#E67E22,SIM,
ES,3,Sea,verbo_imperativo,#E67E22,SIM,
ES,3,tu,pronome_pessoal,#008080,SIM,
ES,3,reino,substantivo_masculino_singular,#4169E1,SIM,
ES,3,",",pontuacao,,NÃO,
ES,3,hágase,verbo_imperativo,#E67E22,SIM,
ES,4,Hágase,verbo_imperativo,#E67E22,SIM,
ES,4,tu,pronome_pessoal,#008080,SIM,
ES,4,voluntad,substantivo_feminino_singular,#FF1493,SIM,
ES,4,",",pontuacao,,NÃO,
ES,4,en,preposicao,#FF8C00,SIM,
ES,4,la,artigo_definido_feminino_singular,,NÃO,
ES,4,tierra,substantivo_feminino_singular,#FF1493,SIM,
ES,4,como,conjuncao,#8B4513,SIM,
ES,4,en,preposicao,#FF8C00,SIM,
ES,4,el,artigo_definido_masculino_singular,,NÃO,
ES,4,cielo,substantivo_masculino_singular,#4169E1,SIM,
ES,4,.,pontuacao,,NÃO,
ES,5,cielo,substantivo_masculino_singular,#4169E1,SIM,
ES,5,Nuestro,adjetivo_normal,#E74C3C,SIM,
ES,5,pan,substantivo_masculino_singular,#4169E1,SIM,
ES,5,de,preposicao,#FF8C00,SIM,
ES,5,cada,adjetivo_normal,#E74C3C,SIM,
ES,5,día,substantivo_masculino_singular,#4169E1,SIM,
ES,6,regálalo,verbo_imperativo,#E67E22,SIM,
ES,6,hoy,advérbio_normal,#16A085,SIM,
ES,6,Perdonen,verbo_imperativo,#E67E22,SIM,
ES,6,nuestro,pronome_possessivo_singular,#006400,SIM,
ES,7,delitos,substantivo_masculino_plural,#1E3A8A,SIM,
ES,8,Así,advérbio_normal,#16A085,SIM,
ES,8,como,conjuncao,#8B4513,SIM,
ES,8,perdonamos,verbo_presente,#9B59B6,SIM,
ES,8,a,preposicao,#FF8C00,SIM,
ES,8,quienes,pronome_relativo,#FFD700,SIM,
ES,8,nos,pronome_pessoal,#008080,SIM,
ES,8,han,verbo_presente,#9B59B6,SIM,
ES,8,hecho,verbo_presente,#9B59B6,SIM,
ES,8,daño,substantivo_masculino_singular,#4169E1,SIM,
ES,9,ofendido,adjetivo_normal,#E74C3C,SIM,
ES,10,Y,conjuncao,#8B4513,SIM,
ES,10,no,advérbio_normal,#16A085,SIM,
ES,10,nos,pronome_pessoal,#008080,SIM,
ES,10,dejes,verbo_presente,#9B59B6,SIM,
ES,10,caer,verbo_presente,#9B59B6,SIM,
ES,10,en,preposicao,#FF8C00,SIM,
ES,10,la,artigo_definido_feminino_singular,,NÃO,
ES,10,tentación,substantivo_feminino_singular,#FF1493,SIM,
ES,10,",",pontuacao,,NÃO,
ES,10,sino,conjuncao,#8B4513,SIM,
ES,11,líbranos,verbo_imperativo,#E67E22,SIM,
ES,11,del,preposicao,#FF8C00,SIM,
ES,11,mal,substantivo_masculino_singular,#4169E1,SIM,
ES,11,.,pontuacao,,NÃO,
ES,11,Amén,interjeicao,#FF69B4,SIM,
ES,11,.,pontuacao,,NÃO,
ES,11,METRO,substantivo_masculino_singular,#4169E1,SIM,
FR,1,Notre,pronome_possessivo_singular,#006400,SIM,
FR,1,Père,substantivo_masculino_singular,#4169E1,SIM,
FR,1,qui,pronome_relativo,#FFD700,SIM,
FR,1,es,verbo_presente,#9B59B6,SIM,
FR,1,aux,preposicao,#FF8C00,SIM,
FR,1,cieux,substantivo_masculino_plural,#1E3A8A,SIM,
FR,2,Que,pronome_relativo,#FFD700,SIM,
FR,2,ton,pronome_possessivo_singular,#006400,SIM,
FR,2,nom,substantivo_masculino_singular,#4169E1,SIM,
FR,2,soit,verbo_presente,#9B59B6,SIM,
FR,2,sanctifié,verbo_presente,#9B59B6,SIM,
FR,2,viens,verbo_imperativo,#E67E22,SIM,
FR,3,Que,pronome_relativo,#FFD700,SIM,
FR,3,ton,pronome_possessivo_singular,#006400,SIM,
FR,3,royaume,substantivo_masculino_singular,#4169E1,SIM,
FR,3,soit,verbo_presente,#9B59B6,SIM,
FR,3,fait,verbo_participio_passado,,NÃO,
FR,4,Que,pronome_relativo,#FFD700,SIM,
FR,4,ta,pronome_possessivo_singular,#006400,SIM,
FR,4,volonté,substantivo_feminino_singular,#FF1493,SIM,
FR,4,soit,verbo_presente,#9B59B6,SIM,
FR,4,faite,verbo_participio_passado,,NÃO,
FR,4,sur,preposicao,#FF8C00,SIM,
FR,4,la,artigo_definido,#D3D3D3,SIM,
FR,4,terre,substantivo_feminino_singular,#FF1493,SIM,
FR,4,comme,conjuncao,#8B4513,SIM,
FR,4,au,artigo_definido,#D3D3D3,SIM,
FR,4,ciel,substantivo_masculino_singular,#4169E1,SIM,
FR,5,ciel,substantivo_masculino_singular,#4169E1,SIM,
FR,5,.,pontuacao,,NÃO,
FR,5,Notre,pronome_possessivo_singular,#006400,SIM,
FR,5,pain,substantivo_masculino_singular,#4169E1,SIM,
FR,5,quotidien,adjetivo_normal,#E74C3C,SIM,
FR,6,Donnez,verbo_imperativo,#E67E22,SIM,
FR,6,Pardonnez,verbo_imperativo,#E67E22,SIM,
FR,6,-,conjuncao,#8B4513,SIM,
FR,6,nous,pronome_pessoal,#008080,SIM,
FR,7,infractions,substantivo_feminino_plural,#C71585,SIM,
FR,8,tout,pronome_indefinido,#20B2AA,SIM,
FR,8,comme,conjuncao,#8B4513,SIM,
FR,8,nous,pronome_pessoal,#008080,SIM,
FR,8,pardonnons,verbo_presente,#9B59B6,SIM,
FR,8,à,preposicao,#FF8C00,SIM,
FR,8,ceux,pronome_demonstrativo_plural,,NÃO,
FR,8,qui,pronome_relativo,#FFD700,SIM,
FR,8,nous,pronome_pessoal,#008080,SIM,
FR,8,ont,verbo_presente,#9B59B6,SIM,
FR,8,fait,verbo_participio_passado,,NÃO,
FR,8,du,artigo_definido_masculino_singular,,NÃO,
FR,8,tort,substantivo_masculino_singular,#4169E1,SIM,
FR,9,offensé,verbo_passado,#4A235A,SIM,
FR,10,Et,conjuncao,#8B4513,SIM,
FR,10,ne,advérbio_normal,#16A085,SIM,
FR,10,nous,pronome_pessoal,#008080,SIM,
FR,10,soumets,verbo_presente,#9B59B6,SIM,
FR,10,pas,advérbio_normal,#16A085,SIM,
FR,10,à,preposicao,#FF8C00,SIM,
FR,10,la,artigo_definido_feminino_singular,,NÃO,
FR,10,tentation,substantivo_feminino_singular,#FF1493,SIM,
FR,10,mais,conjuncao,#8B4513,SIM,
FR,11,délivre-nous,verbo_imperativo,#E67E22,SIM,
FR,11,du,preposicao,#FF8C00,SIM,
FR,11,mal,substantivo_masculino_singular,#4169E1,SIM,
FR,11,Amen,interjeicao,#FF69B4,SIM,
FR,11,M,abreviatura,,NÃO,— remover (artefato)
